,UNIT_SETTLER,UNIT_BUILDER,UNIT_TRADER,UNIT_MISSIONARY,UNIT_APOSTLE,UNIT_INQUISITOR,UNIT_GURU,UNIT_WARRIOR_MONK,UNIT_ARCHAEOLOGIST,UNIT_GREAT_GENERAL,UNIT_GREAT_ADMIRAL,UNIT_GREAT_ENGINEER,UNIT_GREAT_MERCHANT,UNIT_GREAT_PROPHET,UNIT_GREAT_SCIENTIST,UNIT_GREAT_WRITER,UNIT_GREAT_ARTIST,UNIT_GREAT_MUSICIAN,UNIT_SPY,UNIT_NATURALIST,UNIT_SCOUT,UNIT_WARRIOR,UNIT_SLINGER,UNIT_BARBARIAN_HORSEMAN,UNIT_BARBARIAN_HORSE_ARCHER,UNIT_SUMERIAN_WAR_CART,UNIT_BARBARIAN_RAIDER,UNIT_GALLEY,UNIT_NORWEGIAN_LONGSHIP,UNIT_ARCHER,UNIT_SPEARMAN,UNIT_HEAVY_CHARIOT,UNIT_BATTERING_RAM,UNIT_GREEK_HOPLITE,UNIT_SWORDSMAN,UNIT_HORSEMAN,UNIT_SCYTHIAN_HORSE_ARCHER,UNIT_ROMAN_LEGION,UNIT_KONGO_SHIELD_BEARER,UNIT_CATAPULT,UNIT_SIEGE_TOWER,UNIT_QUADRIREME,UNIT_EGYPTIAN_CHARIOT_ARCHER,UNIT_JAPANESE_SAMURAI,UNIT_NORWEGIAN_BERSERKER,UNIT_KNIGHT,UNIT_INDIAN_VARU,UNIT_ARABIAN_MAMLUK,UNIT_CROSSBOWMAN,UNIT_CHINESE_CROUCHING_TIGER,UNIT_MILITARY_ENGINEER,UNIT_PIKEMAN,UNIT_MUSKETMAN,UNIT_SPANISH_CONQUISTADOR,UNIT_CARAVEL,UNIT_BOMBARD,UNIT_FRIGATE,UNIT_PRIVATEER,UNIT_ENGLISH_SEADOG,UNIT_FIELD_CANNON,UNIT_CAVALRY,UNIT_RUSSIAN_COSSACK,UNIT_ENGLISH_REDCOAT,UNIT_FRENCH_GARDE_IMPERIALE,UNIT_MEDIC,UNIT_IRONCLAD,UNIT_AMERICAN_ROUGH_RIDER,UNIT_RANGER,UNIT_OBSERVATION_BALLOON,UNIT_BIPLANE,UNIT_INFANTRY,UNIT_ARTILLERY,UNIT_BATTLESHIP,UNIT_BRAZILIAN_MINAS_GERAES,UNIT_SUBMARINE,UNIT_GERMAN_UBOAT,UNIT_AT_CREW,UNIT_TANK,UNIT_FIGHTER,UNIT_AMERICAN_P51,UNIT_BOMBER,UNIT_ANTIAIR_GUN,UNIT_MACHINE_GUN,UNIT_AIRCRAFT_CARRIER,UNIT_DESTROYER,UNIT_HELICOPTER,UNIT_NUCLEAR_SUBMARINE,UNIT_MECHANIZED_INFANTRY,UNIT_ROCKET_ARTILLERY,UNIT_MOBILE_SAM,UNIT_JET_FIGHTER,UNIT_JET_BOMBER,UNIT_MISSILE_CRUISER,UNIT_MODERN_AT,UNIT_MODERN_ARMOR,UNIT_AZTEC_EAGLE_WARRIOR
UNIT_CROSSBOWMAN, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.69, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 11.64, 6.60, 6.88, 5.50, 5.71, 2.47, 3.60, 3.60, 2.47, 4.00, 4.50, 3.66, 100.00, 4.50, 2.14, 1.55, 3.20, 1.64, 2.30, 3.63, 100.00, 2.64, 2.04, 1.20, 1.47, 0.61, 1.64, 0.61, 1.00, 1.11, 100.00, 1.56, 0.63, 0.63, 0.52, 0.52, 0.25, 0.35, 0.35, 0.17, 0.22, 0.17, 0.44, 0.38, 100.00, 0.24, 0.17, 0.26, 100.00, 0.15, 0.30, 0.12, 0.12, 0.08, 0.10, 0.10, 0.30, 0.10, 0.05, 0.05, 0.07, 100.00, 0.22, 0.19, 0.10, 0.10, 0.06, 0.08, 0.08, 100.00, 0.04, 0.06, 0.08, 0.20, 0.07, 3.66
UNIT_CHINESE_CROUCHING_TIGER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 2.19, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 11.86, 7.05, 5.88, 7.05, 5.88, 3.20, 4.64, 4.64, 3.20, 2.00, 4.64, 3.68, 100.00, 4.64, 2.00, 2.00, 4.00, 1.45, 2.19, 2.43, 100.00, 3.88, 1.23, 0.98, 1.26, 0.77, 1.45, 0.77, 0.90, 1.00, 100.00, 1.37, 0.45, 0.45, 0.67, 0.68, 0.33, 0.46, 0.46, 0.24, 0.28, 0.22, 0.30, 0.25, 100.00, 0.30, 0.22, 0.37, 100.00, 0.21, 0.20, 0.17, 0.17, 0.12, 0.15, 0.15, 0.20, 0.13, 0.08, 0.08, 0.09, 100.00, 0.17, 0.25, 0.13, 0.13, 0.08, 0.11, 0.12, 100.00, 0.05, 0.07, 0.12, 0.13, 0.09, 3.68
UNIT_MILITARY_ENGINEER, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
UNIT_PIKEMAN, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.58, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 11.11, 3.45, 5.56, 7.64, 5.00, 2.30, 3.50, 3.50, 2.30, 1.68, 3.50, 4.13, 100.00, 3.50, 1.00, 2.14, 3.07, 0.72, 1.08, 1.40, 100.00, 2.34, 0.90, 0.49, 0.73, 0.86, 1.57, 0.86, 0.64, 0.73, 100.00, 1.00, 0.22, 0.22, 0.49, 0.37, 0.24, 0.33, 0.33, 0.16, 0.29, 0.19, 0.14, 0.11, 100.00, 0.22, 0.19, 0.27, 100.00, 0.11, 0.09, 0.09, 0.08, 0.05, 0.06, 0.06, 0.11, 0.09, 0.03, 0.03, 0.04, 100.00, 0.07, 0.16, 0.07, 0.08, 0.03, 0.05, 0.05, 100.00, 0.02, 0.03, 0.05, 0.07, 0.05, 1.87
UNIT_MUSKETMAN, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.71, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 20.00, 12.50, 10.00, 12.50, 9.09, 7.27, 10.78, 10.78, 7.27, 3.33, 13.13, 8.60, 100.00, 13.13, 4.50, 4.50, 6.67, 3.18, 4.71, 3.13, 100.00, 5.88, 2.14, 2.20, 3.20, 1.70, 3.18, 1.70, 1.59, 2.22, 100.00, 4.45, 1.00, 1.00, 1.44, 0.95, 0.61, 0.83, 0.83, 0.43, 0.59, 0.40, 0.46, 0.45, 100.00, 0.69, 0.40, 0.79, 100.00, 0.30, 0.31, 0.26, 0.22, 0.11, 0.15, 0.15, 0.47, 0.14, 0.06, 0.05, 0.10, 100.00, 0.18, 0.45, 0.14, 0.12, 0.06, 0.09, 0.11, 100.00, 0.04, 0.05, 0.10, 0.21, 0.08, 8.60
UNIT_SPANISH_CONQUISTADOR, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.71, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 20.00, 12.50, 10.00, 12.50, 9.09, 7.27, 10.78, 10.78, 7.27, 3.33, 13.13, 8.60, 100.00, 13.13, 4.50, 4.50, 6.67, 3.18, 4.71, 3.13, 100.00, 5.88, 2.14, 2.20, 3.20, 1.70, 3.18, 1.70, 1.59, 2.22, 100.00, 4.45, 1.00, 1.00, 1.44, 0.95, 0.61, 0.83, 0.83, 0.43, 0.59, 0.40, 0.46, 0.45, 100.00, 0.69, 0.40, 0.79, 100.00, 0.30, 0.31, 0.26, 0.22, 0.11, 0.15, 0.15, 0.47, 0.14, 0.06, 0.05, 0.10, 100.00, 0.18, 0.45, 0.14, 0.12, 0.06, 0.09, 0.11, 100.00, 0.04, 0.05, 0.10, 0.21, 0.08, 8.60
UNIT_CARAVEL, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.18, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 16.67, 10.78, 7.69, 10.78, 7.14, 4.71, 7.27, 7.27, 4.71, 5.26, 7.27, 5.46, 100.00, 7.27, 3.06, 3.06, 5.26, 2.20, 3.18, 4.53, 100.00, 4.85, 2.86, 1.44, 2.19, 1.14, 2.20, 1.14, 1.94, 1.50, 100.00, 2.05, 0.69, 0.69, 1.00, 0.93, 0.59, 0.88, 0.88, 0.41, 0.40, 0.26, 0.31, 0.31, 100.00, 0.45, 0.26, 0.52, 100.00, 0.25, 0.21, 0.21, 0.18, 0.09, 0.13, 0.13, 0.21, 0.09, 0.04, 0.04, 0.09, 100.00, 0.13, 0.31, 0.09, 0.09, 0.05, 0.08, 0.09, 100.00, 0.03, 0.05, 0.08, 0.09, 0.06, 5.46
UNIT_BOMBARD, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.41, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 23.75, 12.60, 11.00, 11.25, 9.00, 5.06, 7.40, 7.40, 5.06, 5.67, 8.51, 6.74, 100.00, 8.51, 3.80, 3.09, 4.93, 2.92, 4.16, 5.45, 100.00, 4.07, 2.77, 2.10, 2.39, 1.25, 2.92, 1.25, 1.93, 1.46, 100.00, 2.70, 1.05, 1.05, 1.08, 1.00, 0.39, 0.56, 0.56, 0.28, 0.41, 0.29, 0.48, 0.55, 100.00, 0.48, 0.29, 0.40, 100.00, 0.24, 0.41, 0.17, 0.13, 0.08, 0.09, 0.09, 0.41, 0.13, 0.05, 0.05, 0.07, 100.00, 0.20, 0.32, 0.13, 0.12, 0.06, 0.11, 0.08, 100.00, 0.04, 0.06, 0.08, 0.26, 0.09, 6.74
UNIT_FRIGATE, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 5.50, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 25.00, 18.16, 12.11, 16.36, 11.11, 7.88, 11.64, 11.64, 7.88, 8.14, 13.27, 11.04, 100.00, 13.27, 6.11, 5.05, 7.14, 4.50, 6.60, 11.00, 100.00, 7.14, 5.82, 3.21, 4.08, 1.94, 4.50, 1.94, 4.00, 3.02, 100.00, 4.22, 1.64, 1.64, 1.69, 2.57, 1.00, 1.50, 1.50, 0.67, 0.66, 0.45, 0.79, 0.86, 100.00, 0.78, 0.45, 0.81, 100.00, 0.57, 0.63, 0.41, 0.31, 0.17, 0.21, 0.21, 0.63, 0.19, 0.10, 0.10, 0.14, 100.00, 0.41, 0.52, 0.19, 0.17, 0.11, 0.15, 0.17, 100.00, 0.07, 0.10, 0.17, 0.38, 0.13, 11.04
UNIT_PRIVATEER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.60, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 21.89, 13.27, 10.09, 11.64, 9.09, 5.50, 7.88, 7.88, 5.50, 6.88, 9.22, 7.45, 100.00, 9.22, 4.22, 3.35, 5.88, 3.21, 4.50, 7.48, 100.00, 5.71, 4.00, 2.30, 2.89, 1.32, 3.21, 1.32, 2.86, 2.16, 100.00, 3.04, 1.20, 1.20, 1.14, 1.78, 0.67, 1.00, 1.00, 0.45, 0.45, 0.29, 0.66, 0.63, 100.00, 0.52, 0.29, 0.55, 100.00, 0.37, 0.47, 0.27, 0.21, 0.14, 0.17, 0.17, 0.47, 0.15, 0.08, 0.08, 0.11, 100.00, 0.34, 0.35, 0.15, 0.15, 0.09, 0.13, 0.14, 100.00, 0.06, 0.09, 0.14, 0.30, 0.10, 7.45
UNIT_ENGLISH_SEADOG, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.60, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 21.89, 13.27, 10.09, 11.64, 9.09, 5.50, 7.88, 7.88, 5.50, 6.88, 9.22, 7.45, 100.00, 9.22, 4.22, 3.35, 5.88, 3.21, 4.50, 7.48, 100.00, 5.71, 4.00, 2.30, 2.89, 1.32, 3.21, 1.32, 2.86, 2.16, 100.00, 3.04, 1.20, 1.20, 1.14, 1.78, 0.67, 1.00, 1.00, 0.45, 0.45, 0.29, 0.66, 0.63, 100.00, 0.52, 0.29, 0.55, 100.00, 0.37, 0.47, 0.27, 0.21, 0.14, 0.17, 0.17, 0.47, 0.15, 0.08, 0.08, 0.11, 100.00, 0.34, 0.35, 0.15, 0.15, 0.09, 0.13, 0.14, 100.00, 0.06, 0.09, 0.14, 0.30, 0.10, 7.45
UNIT_FIELD_CANNON, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 7.88, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 23.86, 13.50, 21.89, 12.50, 11.64, 16.36, 16.36, 11.64, 10.09, 18.16, 14.86, 100.00, 18.16, 8.88, 7.59, 9.09, 6.60, 9.22, 12.11, 100.00, 9.09, 6.88, 4.50, 5.64, 2.86, 6.60, 2.86, 5.82, 4.20, 100.00, 6.11, 2.30, 2.30, 2.47, 3.63, 1.50, 2.20, 2.20, 1.00, 0.98, 0.66, 1.06, 1.20, 100.00, 1.14, 0.66, 1.23, 100.00, 0.64, 0.86, 0.46, 0.35, 0.17, 0.25, 0.25, 0.86, 0.24, 0.11, 0.11, 0.15, 100.00, 0.56, 0.78, 0.24, 0.22, 0.12, 0.19, 0.19, 100.00, 0.08, 0.08, 0.17, 0.47, 0.15, 14.86
UNIT_CAVALRY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 8.60, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 25.00, 16.67, 12.50, 16.67, 11.11, 11.11, 14.29, 14.29, 11.11, 8.33, 10.94, 12.50, 100.00, 10.94, 7.55, 7.55, 8.33, 5.46, 8.60, 8.33, 100.00, 7.69, 5.88, 3.87, 5.44, 3.06, 5.46, 3.06, 4.55, 3.57, 100.00, 3.45, 1.70, 1.70, 2.53, 2.42, 1.53, 2.22, 2.22, 1.02, 1.00, 0.69, 0.78, 0.79, 100.00, 1.14, 0.69, 1.35, 100.00, 0.63, 0.54, 0.54, 0.46, 0.22, 0.32, 0.32, 0.36, 0.25, 0.12, 0.11, 0.22, 100.00, 0.32, 0.79, 0.25, 0.21, 0.11, 0.16, 0.23, 100.00, 0.06, 0.12, 0.19, 0.17, 0.11, 12.50
UNIT_RUSSIAN_COSSACK, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 11.11, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 20.00, 14.29, 20.00, 14.29, 14.29, 16.67, 16.67, 14.29, 10.00, 13.33, 14.29, 100.00, 13.33, 11.11, 11.11, 10.00, 8.60, 11.11, 11.11, 100.00, 9.09, 6.67, 5.46, 7.55, 4.50, 8.60, 4.50, 5.88, 4.55, 100.00, 5.15, 2.53, 2.53, 3.87, 3.50, 2.22, 3.44, 3.44, 1.53, 1.44, 1.00, 1.17, 1.14, 100.00, 1.70, 1.00, 1.97, 100.00, 0.93, 0.79, 0.80, 0.68, 0.32, 0.46, 0.46, 0.54, 0.36, 0.18, 0.16, 0.30, 100.00, 0.46, 1.14, 0.36, 0.31, 0.16, 0.25, 0.34, 100.00, 0.08, 0.17, 0.28, 0.24, 0.16, 14.29
UNIT_ENGLISH_REDCOAT, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 8.30, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 28.57, 18.18, 12.50, 18.18, 12.50, 11.25, 15.15, 15.15, 11.25, 4.17, 16.42, 12.40, 100.00, 16.42, 7.76, 7.76, 8.33, 6.16, 8.30, 4.55, 100.00, 8.33, 2.78, 4.86, 5.04, 3.79, 6.16, 3.79, 2.27, 3.33, 100.00, 6.91, 2.18, 2.18, 3.22, 2.08, 1.26, 1.52, 1.52, 0.95, 1.28, 0.86, 1.00, 1.00, 100.00, 1.49, 0.86, 2.16, 100.00, 0.75, 0.67, 0.60, 0.49, 0.25, 0.36, 0.36, 1.00, 0.31, 0.14, 0.13, 0.17, 100.00, 0.51, 1.00, 0.31, 0.26, 0.15, 0.21, 0.27, 100.00, 0.08, 0.09, 0.22, 0.45, 0.16, 12.40
UNIT_FRENCH_GARDE_IMPERIALE, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 10.78, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 20.00, 14.29, 20.00, 14.29, 12.50, 16.67, 16.67, 12.50, 5.00, 20.00, 14.29, 100.00, 20.00, 9.30, 9.30, 10.00, 7.27, 10.78, 4.55, 100.00, 9.09, 3.33, 4.71, 6.71, 3.87, 7.27, 3.87, 2.63, 4.00, 100.00, 8.85, 2.20, 2.20, 3.18, 1.81, 1.17, 1.59, 1.59, 0.83, 1.26, 0.88, 1.00, 1.00, 100.00, 1.44, 0.88, 1.69, 100.00, 0.59, 0.69, 0.50, 0.43, 0.22, 0.31, 0.31, 1.00, 0.31, 0.12, 0.11, 0.17, 100.00, 0.41, 1.00, 0.31, 0.26, 0.12, 0.21, 0.23, 100.00, 0.06, 0.09, 0.20, 0.47, 0.14, 14.29
UNIT_MEDIC, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
UNIT_IRONCLAD, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 7.27, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 25.00, 16.67, 12.50, 16.67, 11.11, 10.78, 12.50, 12.50, 10.78, 7.69, 12.50, 11.11, 100.00, 12.50, 6.42, 6.42, 7.69, 4.71, 7.27, 7.69, 100.00, 7.14, 5.26, 3.18, 4.86, 2.53, 4.71, 2.53, 4.22, 3.34, 100.00, 4.50, 1.44, 1.44, 2.20, 2.07, 1.29, 1.94, 1.94, 0.88, 0.88, 0.59, 0.67, 0.69, 100.00, 1.00, 0.59, 1.15, 100.00, 0.55, 0.45, 0.47, 0.41, 0.18, 0.28, 0.28, 0.45, 0.21, 0.11, 0.10, 0.19, 100.00, 0.28, 0.69, 0.21, 0.18, 0.10, 0.14, 0.19, 100.00, 0.05, 0.11, 0.16, 0.21, 0.09, 11.11
UNIT_AMERICAN_ROUGH_RIDER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 11.11, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 20.00, 14.29, 20.00, 14.29, 14.29, 16.67, 16.67, 14.29, 10.00, 13.33, 14.29, 100.00, 13.33, 11.11, 11.11, 10.00, 8.60, 11.11, 11.11, 100.00, 9.09, 6.67, 5.46, 7.55, 4.50, 8.60, 4.50, 5.88, 4.55, 100.00, 5.15, 2.53, 2.53, 3.87, 3.50, 2.22, 3.44, 3.44, 1.53, 1.44, 1.00, 1.17, 1.14, 100.00, 1.70, 1.00, 1.97, 100.00, 0.93, 0.79, 0.80, 0.68, 0.32, 0.46, 0.46, 0.54, 0.36, 0.18, 0.16, 0.30, 100.00, 0.46, 1.14, 0.36, 0.31, 0.16, 0.25, 0.34, 100.00, 0.08, 0.17, 0.28, 0.24, 0.16, 14.29
UNIT_RANGER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 6.20, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 25.00, 16.36, 11.11, 16.36, 11.11, 8.88, 11.86, 11.86, 8.88, 7.14, 11.86, 10.53, 100.00, 11.86, 5.71, 5.71, 7.14, 4.08, 6.20, 10.00, 100.00, 7.14, 5.00, 2.80, 3.56, 2.21, 4.08, 2.21, 3.88, 2.69, 100.00, 3.77, 1.27, 1.27, 1.92, 2.52, 1.23, 1.83, 1.83, 0.81, 0.74, 0.51, 0.46, 0.59, 100.00, 0.87, 0.51, 1.00, 100.00, 0.52, 0.39, 0.49, 0.29, 0.17, 0.26, 0.26, 0.39, 0.22, 0.12, 0.12, 0.16, 100.00, 0.26, 0.59, 0.22, 0.20, 0.14, 0.17, 0.17, 100.00, 0.08, 0.10, 0.17, 0.22, 0.14, 10.53
UNIT_OBSERVATION_BALLOON, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
UNIT_BIPLANE, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 14.73, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 52.00, 35.33, 21.00, 35.33, 21.00, 21.44, 26.60, 26.60, 21.44, 13.50, 26.60, 22.53, 100.00, 26.60, 13.07, 11.67, 12.50, 9.77, 14.73, 17.67, 100.00, 13.50, 9.79, 6.74, 7.93, 4.58, 9.77, 4.58, 6.51, 4.80, 100.00, 9.36, 3.30, 3.30, 4.00, 4.17, 1.76, 2.70, 2.70, 1.56, 1.59, 1.08, 1.34, 1.70, 100.00, 1.83, 1.08, 1.91, 100.00, 1.00, 1.21, 0.99, 0.45, 0.22, 0.57, 0.57, 1.21, 0.38, 0.15, 0.10, 0.25, 100.00, 0.57, 1.70, 0.38, 0.32, 0.14, 0.45, 0.24, 100.00, 0.09, 0.12, 0.18, 0.63, 0.18, 22.53
UNIT_INFANTRY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 12.50, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 25.00, 20.00, 25.00, 16.67, 16.67, 20.00, 20.00, 16.67, 6.25, 25.00, 16.67, 100.00, 25.00, 12.50, 12.50, 12.50, 10.78, 12.50, 5.56, 100.00, 11.11, 3.85, 7.27, 9.16, 5.46, 10.78, 5.46, 3.33, 5.00, 100.00, 11.35, 3.18, 3.18, 4.71, 2.43, 1.59, 2.14, 2.14, 1.17, 1.86, 1.26, 1.49, 1.44, 100.00, 2.20, 1.26, 2.58, 100.00, 0.83, 1.00, 0.71, 0.61, 0.31, 0.43, 0.43, 1.48, 0.45, 0.16, 0.15, 0.22, 100.00, 0.59, 1.44, 0.45, 0.40, 0.17, 0.31, 0.33, 100.00, 0.09, 0.12, 0.27, 0.68, 0.21, 16.67
UNIT_ARTILLERY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 15.45, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 50.00, 35.33, 21.00, 33.33, 20.00, 21.89, 25.00, 25.00, 21.89, 13.50, 27.00, 24.22, 100.00, 27.00, 15.21, 13.58, 12.50, 11.40, 17.15, 17.67, 100.00, 12.50, 10.09, 7.91, 9.64, 5.37, 11.40, 5.37, 8.14, 6.00, 100.00, 10.91, 3.85, 3.85, 4.70, 5.74, 2.44, 3.70, 3.70, 2.17, 1.84, 1.26, 1.65, 2.00, 100.00, 2.13, 1.26, 2.03, 100.00, 1.01, 1.41, 1.00, 0.58, 0.28, 0.41, 0.41, 1.41, 0.44, 0.17, 0.14, 0.23, 100.00, 0.80, 1.47, 0.44, 0.38, 0.16, 0.30, 0.31, 100.00, 0.10, 0.12, 0.23, 0.73, 0.20, 24.22
UNIT_BATTLESHIP, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 18.16, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 52.00, 35.33, 21.00, 35.33, 21.00, 23.86, 27.00, 27.00, 23.86, 13.50, 27.00, 24.22, 100.00, 27.00, 16.52, 14.75, 12.50, 13.27, 18.16, 17.67, 100.00, 13.50, 10.09, 9.22, 9.83, 6.26, 13.27, 6.26, 8.14, 6.00, 100.00, 12.70, 4.50, 4.50, 5.50, 7.48, 3.20, 4.85, 4.85, 2.86, 2.16, 1.46, 2.02, 2.30, 100.00, 2.47, 1.46, 3.47, 100.00, 2.20, 1.64, 1.73, 1.00, 0.45, 1.03, 1.03, 1.64, 0.52, 0.30, 0.25, 0.42, 100.00, 1.03, 2.30, 0.52, 0.45, 0.25, 0.63, 0.49, 100.00, 0.15, 0.21, 0.38, 0.86, 0.24, 24.22
